Time     Temperature!     Force
-7.314000 25.110000 25.110000 
-6.941000 25.120000 25.120000 
-6.797000 25.120000 25.120000 
-6.518000 25.150000 25.150000 
-6.253000 25.150000 25.150000 
-6.009000 25.170000 25.170000 
-5.747000 25.120000 25.120000 
-5.486000 25.120000 25.120000 
-5.213000 25.150000 25.150000 
-4.956000 25.190000 25.190000 
-4.695000 25.120000 25.120000 
-4.431000 25.160000 25.160000 
-4.157000 25.120000 25.120000 
-3.896000 25.150000 25.150000 
-3.638000 25.100000 25.100000 
-3.374000 25.200000 25.200000 
-3.111000 25.050000 25.050000 
-2.850000 25.160000 25.160000 
-2.590000 25.110000 25.110000 
-2.330000 25.160000 25.160000 
-2.069000 25.200000 25.200000 
-1.791000 25.480000 25.480000 
-1.529000 25.700000 25.700000 
-1.274000 26.100000 26.100000 
-1.012000 26.430000 26.430000 
-0.738000 26.760000 26.760000 
-0.485000 27.040000 27.040000 
-0.206000 27.260000 27.260000 
0.052000 27.650000 27.650000 
0.312000 27.900000 27.900000 
0.576000 28.160000 28.160000 
0.834000 28.270000 28.270000 
1.094000 28.470000 28.470000 
1.353000 28.550000 28.550000 
1.624000 28.620000 28.620000 
1.879000 28.620000 28.620000 
2.137000 28.620000 28.620000 
2.403000 28.560000 28.560000 
2.669000 28.650000 28.650000 
2.948000 28.590000 28.590000 
3.191000 28.560000 28.560000 
3.452000 28.520000 28.520000 
3.727000 28.500000 28.500000 
3.999000 28.450000 28.450000 
4.254000 28.370000 28.370000 
4.512000 28.340000 28.340000 
4.789000 28.310000 28.310000 
5.036000 28.230000 28.230000 
5.315000 28.230000 28.230000 
5.572000 28.180000 28.180000 
5.834000 28.110000 28.110000 
6.097000 28.160000 28.160000 
6.355000 28.080000 28.080000 
6.614000 27.980000 27.980000 
6.874000 27.980000 27.980000 
7.152000 28.000000 28.000000 
7.402000 27.860000 27.860000 
7.666000 27.890000 27.890000 
7.927000 27.800000 27.800000 
8.202000 27.750000 27.750000 
8.458000 27.700000 27.700000 
8.723000 27.700000 27.700000 
-51.017000 27.620000 27.620000 
-50.756000 27.660000 27.660000 
-50.494000 27.620000 27.620000 
-50.216000 27.560000 27.560000 
-49.956000 27.620000 27.620000 
-49.696000 27.490000 27.490000 
-49.431000 27.450000 27.450000 
-49.169000 27.430000 27.430000 
-48.910000 27.520000 27.520000 
-48.649000 27.320000 27.320000 
-48.385000 27.360000 27.360000 
-48.130000 27.250000 27.250000 
-47.868000 27.340000 27.340000 
-47.587000 27.320000 27.320000 
-47.326000 27.170000 27.170000 
-47.066000 27.230000 27.230000 
-46.812000 27.230000 27.230000 
-46.549000 27.120000 27.120000 
