Time     Temperature!     Force
1.142000 36.050000 36.050000 
1.355000 28.000000 28.000000 
1.575000 36.020000 36.020000 
1.683000 28.000000 28.000000 
2.031000 35.980000 35.980000 
2.153000 28.000000 28.000000 
2.487000 36.000000 36.000000 
2.607000 28.000000 28.000000 
2.945000 35.930000 35.930000 
3.065000 28.000000 28.000000 
3.405000 35.940000 35.940000 
3.524000 28.000000 28.000000 
3.843000 35.980000 35.980000 
3.963000 28.000000 28.000000 
4.302000 36.050000 36.050000 
4.422000 28.000000 28.000000 
4.763000 36.050000 36.050000 
4.885000 28.000000 28.000000 
5.225000 36.040000 36.040000 
5.347000 28.000000 28.000000 
5.666000 36.040000 36.040000 
5.786000 28.000000 28.000000 
6.126000 36.090000 36.090000 
6.246000 28.000000 28.000000 
6.567000 35.980000 35.980000 
6.686000 28.000000 28.000000 
7.027000 36.070000 36.070000 
7.148000 28.000000 28.000000 
7.488000 36.050000 36.050000 
7.609000 28.000000 28.000000 
7.928000 36.040000 36.040000 
8.048000 28.000000 28.000000 
8.391000 36.000000 36.000000 
8.511000 28.000000 28.000000 
8.848000 36.060000 36.060000 
8.968000 28.000000 28.000000 
9.309000 35.950000 35.950000 
9.432000 28.000000 28.000000 
9.750000 36.100000 36.100000 
9.870000 28.000000 28.000000 
10.200000 36.020000 36.020000 
10.321000 28.000000 28.000000 
10.660000 36.100000 36.100000 
10.779000 28.000000 28.000000 
11.119000 36.060000 36.060000 
11.240000 28.000000 28.000000 
11.562000 36.130000 36.130000 
11.682000 28.000000 28.000000 
12.022000 36.090000 36.090000 
12.143000 28.000000 28.000000 
12.463000 36.090000 36.090000 
12.584000 28.000000 28.000000 
12.925000 36.100000 36.100000 
13.045000 28.000000 28.000000 
13.384000 36.120000 36.120000 
13.504000 28.000000 28.000000 
13.823000 36.080000 36.080000 
13.943000 28.000000 28.000000 
14.284000 36.130000 36.130000 
14.404000 28.000000 28.000000 
14.742000 36.120000 36.120000 
14.862000 28.000000 28.000000 
15.205000 36.120000 36.120000 
15.327000 28.000000 28.000000 
15.647000 36.070000 36.070000 
15.768000 28.000000 28.000000 
16.108000 36.120000 36.120000 
16.228000 28.000000 28.000000 
16.549000 36.090000 36.090000 
16.670000 28.000000 28.000000 
17.010000 36.060000 36.060000 
17.131000 28.000000 28.000000 
